Customer_ID,Age,Gender,Education_Level,Region,Monthly_Income,Account_Balance,Credit_Score,Days_in_Arrears_12M,Requested_Loan_Amount
1,56,Male,Secondary School,North,3390.29,7044.24,630.0,5.0,8575.03
2,69,Female,Primary School,South,1294.19,1634.55,548.0,8.0,
3,46,Male,Technical,Central,,2532.94,507.0,8.0,4227.19
4,32,Female,University,North,2951.14,6405.47,591.0,4.0,9040.18
5,60,Female,Postgraduate,South,3701.95,7720.67,641.0,8.0,12337.47
6,25,Male,Secondary School,Central,1419.09,1028.84,461.0,7.0,6198.48
7,38,Female,Technical,Central,2471.13,5243.97,551.0,11.0,4004.28
8,56,Male,Technical,Central,2542.31,3504.86,590.0,5.0,10339.74
9,75,Male,Secondary School,North,1731.57,3968.05,566.0,6.0,4292.98
10,36,Female,Technical,North,5555.99,10830.6,765.0,7.0,19495.39
11,40,Female,Secondary School,Central,3717.61,,712.0,6.0,11371.33
12,28,Male,Postgraduate,Central,4347.55,9188.65,703.0,6.0,15183.55
13,28,Female,Technical,West,3110.16,5786.8,729.0,3.0,10295.88
14,41,Male,University,North,1865.74,3160.1,577.0,11.0,5540.82
15,70,Male,Secondary School,West,1692.84,3030.23,607.0,6.0,5573.22
16,53,Female,Primary School,Central,,3134.45,561.0,4.0,3779.12
17,57,Male,Secondary School,Central,3052.76,5287.29,676.0,10.0,9672.18
18,41,Male,University,Central,1586.7,2706.68,,7.0,3183.71
19,20,Female,University,Central,1802.05,4145.52,,9.0,4371.58
20,39,Female,Secondary School,South,1630.59,1899.43,549.0,7.0,7711.76
21,70,Male,University,Central,5309.31,10420.72,,7.0,19642.27
22,19,Male,Secondary School,South,1564.57,2809.47,,8.0,2630.01
23,41,Female,Secondary School,Central,,3598.92,587.0,4.0,8110.74
24,61,Female,University,South,2445.79,4878.02,,10.0,8389.16
25,47,Female,University,South,3552.84,5152.55,690.0,1.0,12538.55
26,55,Male,Secondary School,,994.37,,538.0,10.0,2964.31
27,19,Male,Secondary School,East,1076.31,3633.56,540.0,10.0,3064.21
28,38,Male,Secondary School,East,1402.57,2166.02,539.0,5.0,1161.27
29,50,Female,Secondary School,West,937.86,1388.55,441.0,7.0,1462.95
30,29,Female,University,North,1402.51,3153.68,576.0,6.0,
31,75,Female,Technical,East,1650.35,3478.78,538.0,8.0,4572.75
32,39,Female,Primary School,West,636.55,1654.28,,9.0,2599.14
33,61,Male,Secondary School,South,1512.25,2358.15,621.0,,3381.26
34,42,Male,Postgraduate,South,3839.79,,662.0,11.0,14169.42
35,66,Male,University,West,1764.27,2720.24,590.0,5.0,
36,44,Male,University,West,2102.16,4157.24,634.0,6.0,5723.01
37,59,Male,Primary School,South,1068.65,1819.64,514.0,10.0,2692.0
38,45,Male,University,Central,4938.18,9499.79,708.0,7.0,16223.32
39,33,Female,Secondary School,East,1584.77,3575.98,619.0,5.0,5423.88
40,32,Female,Technical,North,4875.56,9124.41,660.0,4.0,16661.07
41,64,Male,Postgraduate,Central,2861.69,4535.75,650.0,5.0,10194.82
42,68,Female,Primary School,West,1047.38,679.05,526.0,9.0,924.23
43,61,Male,Secondary School,East,2612.94,3797.23,544.0,9.0,6958.89
44,72,Female,Primary School,West,408.99,0.0,383.0,5.0,1048.0
45,69,Female,Secondary School,South,2246.25,6436.58,563.0,2.0,7763.49
46,74,Female,Secondary School,Central,1530.52,3282.38,598.0,13.0,4030.34
47,20,Male,University,,2417.51,4532.71,613.0,8.0,8556.54
48,54,Male,Secondary School,Central,,1935.72,530.0,7.0,500.0
49,68,Male,Technical,East,2469.33,5194.83,617.0,8.0,8013.34
50,24,Female,University,South,1009.12,1662.39,,3.0,4092.29
51,38,Female,Postgraduate,Central,,4493.54,605.0,8.0,7832.14
52,26,Female,Secondary School,North,3510.55,6798.24,671.0,4.0,13867.22
53,56,Male,Secondary School,,1587.56,3190.98,529.0,9.0,4122.31
54,35,Female,Primary School,South,,1306.68,487.0,13.0,2899.01
55,21,Female,Primary School,North,1183.61,1318.83,554.0,4.0,
56,42,Male,Technical,Central,2521.18,4586.02,556.0,8.0,10024.75
57,31,Male,Primary School,South,1227.1,3077.88,499.0,7.0,3944.34
58,67,Female,Secondary School,East,1497.18,3298.18,518.0,9.0,2781.14
59,75,Male,Primary School,North,980.59,2019.39,512.0,9.0,1983.63
60,26,Female,Technical,South,986.91,2428.63,495.0,4.0,
61,43,Female,Secondary School,North,648.18,208.7,471.0,10.0,2584.34
62,70,Female,Primary School,North,871.69,1440.93,461.0,10.0,855.35
63,19,Female,Secondary School,North,2587.54,4624.81,614.0,5.0,6973.65
64,37,Female,Technical,South,1473.22,1794.93,529.0,10.0,2691.12
65,45,Female,Technical,North,1683.88,,511.0,8.0,5513.92
66,64,Male,Secondary School,,789.35,1967.05,428.0,4.0,1688.94
67,24,Male,University,North,2323.1,4312.88,526.0,8.0,5380.59
68,61,Male,Primary School,West,,2030.9,557.0,5.0,5144.37
69,25,Female,Primary School,West,,1322.17,,15.0,758.44
70,64,Male,Primary School,North,958.91,1258.32,,5.0,2147.99
71,52,Male,Technical,Central,1414.64,1456.42,607.0,12.0,6045.65
72,31,Male,Technical,West,1579.39,2694.73,532.0,7.0,5051.82
73,34,Female,Primary School,North,1165.25,1620.2,548.0,5.0,4145.18
74,53,Female,Technical,North,665.66,555.91,435.0,8.0,3166.54
75,67,Female,Secondary School,North,739.23,1374.95,479.0,7.0,1127.4
76,57,Male,Postgraduate,West,2681.53,4530.11,623.0,9.0,8434.83
77,21,Female,Technical,East,2614.8,3580.78,570.0,8.0,
78,19,Female,Technical,North,909.09,1193.08,553.0,3.0,2709.8
79,23,Male,Technical,North,2251.31,3946.41,639.0,8.0,8046.82
80,71,Female,Postgraduate,West,7357.55,12365.82,742.0,6.0,26090.97
81,59,Male,Postgraduate,,3027.09,5729.63,613.0,8.0,9307.04
82,21,Female,Technical,South,1410.96,2600.24,,,4546.8
83,71,Male,Secondary School,Central,2021.27,2938.48,587.0,7.0,4256.51
84,46,Male,Secondary School,East,1588.97,3483.81,521.0,8.0,3263.59
85,35,Female,Secondary School,North,1118.67,3123.53,508.0,8.0,2092.61
86,43,Male,Technical,East,2040.34,3615.94,643.0,10.0,5898.8
87,61,Male,Secondary School,Central,1143.75,1889.71,,5.0,2216.63
88,51,Female,University,North,4540.2,7917.29,750.0,8.0,17103.39
89,27,Male,Secondary School,Central,1322.48,1960.43,484.0,12.0,1902.94
90,53,Female,University,East,2968.88,4595.14,687.0,2.0,7846.56
91,31,Male,Secondary School,Central,3105.95,,689.0,6.0,11132.15
92,48,Female,Technical,North,1680.22,2415.02,609.0,9.0,4689.44
93,65,Female,Secondary School,South,1119.03,0.0,,8.0,3976.62
94,32,Female,Technical,South,1364.76,4081.73,531.0,6.0,2336.91
95,25,Female,Secondary School,East,1448.43,3965.05,,6.0,4294.85
96,31,Female,Secondary School,Central,1376.74,2567.39,541.0,8.0,5396.64
